Year_Month,Fuel_Category,County,Count
2020/12,Plug-In Hybrid,ANNE ARUNDEL,1215
2020/12,Plug-In Hybrid,BALTIMORE,1313
2020/12,Plug-In Hybrid,BALTIMORE CITY,675
2020/12,Plug-In Hybrid,CALVERT,173
2020/12,Plug-In Hybrid,CAROLINE,24
2020/12,Plug-In Hybrid,CARROLL,255
2020/12,Plug-In Hybrid,CECIL,83
2020/12,Plug-In Hybrid,CHARLES,185
2020/12,Plug-In Hybrid,CO,1
2020/12,Plug-In Hybrid,DORCHESTER,25
2020/12,Plug-In Hybrid,FREDERICK,738
2020/12,Plug-In Hybrid,GARRETT,6
2020/12,Plug-In Hybrid,HARFORD,313
2020/12,Plug-In Hybrid,HOWARD,1212
2020/12,Plug-In Hybrid,IL,2
2020/12,Plug-In Hybrid,KENT,39
2020/12,Plug-In Hybrid,KY,1
2020/12,Plug-In Hybrid,MONTGOMERY,3813
2020/12,Plug-In Hybrid,OH,2
2020/12,Plug-In Hybrid,PRINCE GEORGES,1031
2020/12,Plug-In Hybrid,QUEEN ANNES,90
2020/12,Plug-In Hybrid,SAINT MARYS,186
2020/12,Plug-In Hybrid,SOMERSET,8
2020/12,Plug-In Hybrid,TALBOT,86
2020/12,Plug-In Hybrid,TN,1
2020/12,Plug-In Hybrid,WA,1
2020/12,Plug-In Hybrid,WASHINGTON,167
2020/12,Plug-In Hybrid,WICOMICO,94
2020/12,Plug-In Hybrid,WORCESTER,73
2021/01,Electric,UNKNOWN,34
2021/01,Electric,ALLEGANY,39
2021/01,Electric,ANNE ARUNDEL,1880
2021/01,Electric,BALTIMORE,1822
2021/01,Electric,BALTIMORE CITY,871
2021/01,Electric,CA,3
2021/01,Electric,CALVERT,164
2021/01,Electric,CAROLINE,11
2021/01,Electric,CARROLL,371
2021/01,Electric,CECIL,104
2021/01,Electric,CHARLES,247
2021/01,Electric,DE,1
2021/01,Electric,DORCHESTER,24
2021/01,Electric,FREDERICK,864
2021/01,Electric,GARRETT,15
2021/01,Electric,HARFORD,389
2021/01,Electric,HOWARD,2237
2021/01,Electric,KENT,18
2021/01,Electric,MONTGOMERY,6694
2021/01,Electric,PRINCE GEORGES,1451
2021/01,Electric,QUEEN ANNES,97
2021/01,Electric,SAINT MARYS,169
2021/01,Electric,SOMERSET,3
2021/01,Electric,TALBOT,95
2021/01,Electric,WASHINGTON,158
2021/01,Electric,WICOMICO,59
2021/01,Electric,WORCESTER,55
2021/01,Plug-In Hybrid,UNKNOWN,19
2021/01,Plug-In Hybrid,ALLEGANY,39
2021/01,Plug-In Hybrid,ANNE ARUNDEL,1231
2021/01,Plug-In Hybrid,BALTIMORE,1339
2021/01,Plug-In Hybrid,BALTIMORE CITY,704
2021/01,Plug-In Hybrid,CALVERT,176
2021/01,Plug-In Hybrid,CAROLINE,25
2021/01,Plug-In Hybrid,CARROLL,262
2021/01,Plug-In Hybrid,CECIL,85
2021/01,Plug-In Hybrid,CHARLES,188
2021/01,Plug-In Hybrid,CO,1
2021/01,Plug-In Hybrid,DORCHESTER,24
2021/01,Plug-In Hybrid,FREDERICK,751
2021/01,Plug-In Hybrid,GARRETT,6
2021/01,Plug-In Hybrid,HARFORD,313
2021/01,Plug-In Hybrid,HOWARD,1229
2021/01,Plug-In Hybrid,IL,1
2021/01,Plug-In Hybrid,KENT,40
2021/01,Plug-In Hybrid,KY,1
2021/01,Plug-In Hybrid,MONTGOMERY,3861
2021/01,Plug-In Hybrid,OH,2
2021/01,Plug-In Hybrid,PRINCE GEORGES,1039
2021/01,Plug-In Hybrid,QUEEN ANNES,89
2021/01,Plug-In Hybrid,SAINT MARYS,193
2021/01,Plug-In Hybrid,SOMERSET,9
2021/01,Plug-In Hybrid,TALBOT,92
2021/01,Plug-In Hybrid,TN,1
2021/01,Plug-In Hybrid,WA,1
2021/01,Plug-In Hybrid,WASHINGTON,172
2021/01,Plug-In Hybrid,WICOMICO,98
2021/01,Plug-In Hybrid,WORCESTER,73
2021/02,Electric,UNKNOWN,35
2021/02,Electric,ALLEGANY,39
2021/02,Electric,ANNE ARUNDEL,1912
2021/02,Electric,BALTIMORE,1860
2021/02,Electric,BALTIMORE CITY,888
2021/02,Electric,CA,3
2021/02,Electric,CALVERT,166
2021/02,Electric,CAROLINE,12
2021/02,Electric,CARROLL,378
2021/02,Electric,CECIL,109
2021/02,Electric,CHARLES,256
2021/02,Electric,DE,1
2021/02,Electric,DORCHESTER,25
2021/02,Electric,FREDERICK,879
2021/02,Electric,GARRETT,18
2021/02,Electric,HARFORD,392
2021/02,Electric,HOWARD,2258
2021/02,Electric,KENT,19
2021/02,Electric,MONTGOMERY,6761
2021/02,Electric,PRINCE GEORGES,1488
2021/02,Electric,QUEEN ANNES,100
2021/02,Electric,SAINT MARYS,176
2021/02,Electric,SOMERSET,3
2021/02,Electric,TALBOT,96
2021/02,Electric,VA,1
2021/02,Electric,WASHINGTON,161
2021/02,Electric,WICOMICO,61
2021/02,Electric,WORCESTER,58
2021/02,Plug-In Hybrid,UNKNOWN,18
2021/02,Plug-In Hybrid,ALLEGANY,38
2021/02,Plug-In Hybrid,ANNE ARUNDEL,1250
2021/02,Plug-In Hybrid,BALTIMORE,1352
2021/02,Plug-In Hybrid,BALTIMORE CITY,714
2021/02,Plug-In Hybrid,CALVERT,182
2021/02,Plug-In Hybrid,CAROLINE,26
2021/02,Plug-In Hybrid,CARROLL,268
2021/02,Plug-In Hybrid,CECIL,86
2021/02,Plug-In Hybrid,CHARLES,191
2021/02,Plug-In Hybrid,CO,1
2021/02,Plug-In Hybrid,DORCHESTER,26
2021/02,Plug-In Hybrid,FREDERICK,757
2021/02,Plug-In Hybrid,GARRETT,7
2021/02,Plug-In Hybrid,HARFORD,314
2021/02,Plug-In Hybrid,HOWARD,1231
2021/02,Plug-In Hybrid,IL,1
2021/02,Plug-In Hybrid,KENT,40
2021/02,Plug-In Hybrid,KY,1
2021/02,Plug-In Hybrid,MONTGOMERY,3880
2021/02,Plug-In Hybrid,OH,2
2021/02,Plug-In Hybrid,PRINCE GEORGES,1057
2021/02,Plug-In Hybrid,QUEEN ANNES,90
2021/02,Plug-In Hybrid,SAINT MARYS,195
2021/02,Plug-In Hybrid,SOMERSET,10
2021/02,Plug-In Hybrid,TALBOT,94
2021/02,Plug-In Hybrid,TN,1
2021/02,Plug-In Hybrid,WA,1
2021/02,Plug-In Hybrid,WASHINGTON,180
2021/02,Plug-In Hybrid,WICOMICO,101
2021/02,Plug-In Hybrid,WORCESTER,76
