Station Name,Street Address,City,State,ZIP,Status Code,Latitude,Longitude,ID,Open Date,EV Connector Types,Country,Access Code
SCH CHILDREN'S #2,4800 Sand Point Way NE Seattle WA 98105,Seattle,WA,98105,E,47.661983,-122.280547,61863,,J1772,US,public
Kitsap Transit WA Harborside Parking Garage,60 Washington Ave,Bremerton,WA,98337,E,47.563581,-122.625317,61877,2013-12-31,J1772,US,public
BMW TRI-CITIES STATION 01,1201-1299 Aaron Dr,Richland,WA,99352,E,46.260176,-119.280814,61930,,J1772,US,public
Mount Rainier National Park,Highway 706 E,Longmire,WA,98397,E,46.761214,-122.040397,61947,2014-05-22,J1772,US,private
Mount Rainier National Park,55210 238th Ave E,Ashford,WA,98304,E,46.755816,-122.120894,61948,2019-07-15,J1772,US,private
Semiahmoo Resort,9565 Semiahmoo Pkwy,Blaine,WA,98230,E,48.989751,-122.773271,62286,2014-04-01,J1772,US,public
Pybus Public Market,7 N Worthen St,Wenatchee,WA,98801,E,47.425375,-120.307608,62516,2014-07-07,J1772,US,public
UDR ASHTON BELL #2,10710 NE 10th St,Bellevue,WA,98004,E,47.619772,-122.197194,62654,,J1772,US,public
Best Western Plus - Heritage Inn,151 E McLeod Rd,Bellingham,WA,98226,E,48.783478,-122.484131,62692,2014-03-21,J1772,US,public
UDR TEN20 #1,10710 Northeast 10th Street,Bellevue,WA,98004,E,47.61984,-122.19603,62728,,J1772,US,public
AMLI SLU AMLI SLU #1,1250-1282 Republican St,Seattle,WA,98109,E,47.62313,-122.331442,62796,,J1772,US,public
City of Chelan,137 E Johnson Ave,Chelan,WA,98816,E,47.840838,-120.018402,62973,2014-08-18,J1772,US,public
LCC LCC H&S #1,1810 Maple Street,Longview,WA,98632,E,46.141922,-122.940192,63088,,J1772,US,public
UWMC UWMC #1,3100 Northup Way,Bellevue,WA,98004,E,47.638269,-122.191294,63110,,J1772,US,public
MI SCHOOLS MERCER HIGH #1,8932-8998 SE 42nd St,Mercer Island,WA,98040,E,47.571306,-122.218887,63198,,J1772,US,public
REO FAST CHARGER,1525 14th Ave,Seattle,WA,98122,E,47.614911,-122.314409,63307,,CHADEMO,US,public
UWMC 4245 UWMC 4245 #1,4245 Roosevelt Ave NE,Seattle,WA,98105,E,47.658961,-122.3185,63313,,J1772,US,public
UWMC 4225 UWMC 4225 #1,4225 Roosevelt Way NE,Seattle,WA,98105,E,47.658409,-122.318392,63338,,J1772,US,public
Esplanade Street Parking,220 N Oak St,Port Angeles,WA,98362,E,48.120933,-123.434437,63424,2014-02-01,J1772 NEMA1450,US,public
Town Nissan,555 3rd St SE,East Wenatchee,WA,98802,E,47.400783,-120.279071,63444,2010-12-17,CHADEMO J1772,US,public
Town Nissan,555 3rd St SE,East Wenatchee,WA,98802,E,47.400783,-120.279071,63445,2010-12-17,J1772,US,private
MAIN HOSPITAL SILVER PARKING,11300-11398 128th Ave NE,Kirkland,WA,98034,E,47.716056,-122.179455,63780,,J1772,US,public
MAIN HOSPITAL DEYOUNG1,12039 NE 128th St,Kirkland,WA,98034,E,47.714435,-122.179399,63781,,J1772,US,public
MAIN HOSPITAL BLUE PARKING,12040 NE 128th St,Kirkland,WA,98034,E,47.714793,-122.176869,63782,,J1772,US,public
Leskovar Mitsubishi,3020 W Clearwater Ave,Kennewick,WA,99336,E,46.213233,-119.162367,64135,2014-03-01,J1772,US,public
BMW SEATTLE BMW SALES,601-699 S Plummer St,Seattle,WA,98134,E,47.594042,-122.323977,64185,,J1772,US,public
HARBOUR POINT HBP STATION A,11700 Mukilteo Speedway,Mukilteo,WA,98275,E,47.890423,-122.286971,64475,,J1772,US,public
Mellisoni Vineyard,3155 US 97A,Chelan,WA,98816,E,47.83522282,-120.0689834,64500,2014-11-29,J1772,US,public
Sound Ford,101 SW Grady Way,Renton,WA,98057,E,47.47015,-122.218765,64703,2014-12-01,J1772,US,public
1551 EASTLAKE A ARE 1551 #1,1551 Eastlake Ave E,Seattle,WA,98102,E,47.633703,-122.325837,65035,,J1772,US,public
Cathcart Station,8915 Cathcart Way,Snohomish,WA,98296,E,47.872727,-122.129049,65056,2011-03-01,J1772,US,private
901 FIFTH F LEVEL,901 5th Ave,Seattle,WA,98164,E,47.605816,-122.331975,65241,,J1772,US,public
1616 EASTLAKE ARE 1616 #1,1616 Eastlake Ave E,Seattle,WA,98102,E,47.634438,-122.324583,65267,,J1772,US,public
Snoqualmie Casino,37500 SE N Bend,Issaquah,WA,98065,E,47.519113,-121.841787,65414,2015-01-01,J1772,US,public
Wenatchee - Wenatchee Convention Center,200 N Columbia St,Wenatchee,WA,98801,E,47.42758,-120.31231,65859,,CHADEMO J1772,US,public
I-5 Gee Creek NB Rest Area,"Interstate 5, Milepost 11 North",Ridgefield,WA,98642,E,45.77671,-122.669,65860,,J1772,US,public
Centralia - Wendy's,817 Harrison Avenue,Centralia,WA,98531,E,46.725274,-122.974224,65861,,CHADEMO J1772,US,public
